Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Височан,Владислав,Болеславович,Чоловіча,1944-09-03,Паблік рилейшнз,хутір Жовква,"шосе Герцена, буд. 68 кв. 89, Хотин, 94283",612 48 14,uhaivoronskyi@example.com
Ґалаґан,Оксана,Георгіївна,Жіноча,2006-02-17,Державний службовець,хутір Тульчин,"парк 15-та Суворовська, буд. 9 кв. 8, Долинська, 89646",+380 94 817-61-17,viacheslavvasylenko@example.com
Носенко,Зиновій,Веніяминович,Чоловіча,1964-04-02,Випробувач,селище Южноукраїнськ,"проспект Шампанський, буд. 36, Ромни, 25930",+380 (16) 417-63-77,prokhirshynkarenko@example.org
Шаповал,Андрій,Гаврилович,Чоловіча,1953-01-28,Водій,село Кодима,"провулок Адміральський, буд. 06 кв. 8, Старий Самбір, 40350",+380 86 853-30-42,tetiana89@example.org
Шинкаренко,Тетяна,Лесівна,Жіноча,1965-01-07,Кінолог,місто Кілія,"узвіз Кругова, буд. 49 кв. 2, Красноград, 51869",057 955 52 32,vdovychenkoalla@example.net
Акименко,Михайло,Глібович,Чоловіча,1999-07-16,Фізик,село Трускавець,"узвіз Західний 1-й, буд. 615, Сарни, 02751",606 27 69,chuikohalyna@example.net
Макаренко,Пармен,Олесьович,Чоловіча,1984-05-17,Будник,місто Снятин,"парк Новгородський 2-й, буд. 608, Южне, 21787",833 46 84,hlibriabchenko@example.net
Данильчук,Марʼяна,Альбертівна,Жіноча,1964-07-18,Пілот,місто Баранівка,"провулок Ціолковського, буд. 0 кв. 06, Тальне, 10932",+380 96 710 31 79,davyd38@example.net
Мамчур,Єва,Валеріївна,Жіноча,1985-06-12,Публіцист,місто Оріхів,"сквер Аеропортівський 6-й, буд. 3, Новгород-Сіверський, 34780",091 782-20-28,valentyna99@example.com
Романенко,Еріка,Ярославівна,Жіноча,1955-07-23,Мікробіолог,місто Комарно,"вулиця Петрашевського, буд. 206, Пустомити, 55789",+380 94 470-80-12,zinkevycharkadii@example.net
Гавриленко,Тимофій,Олексович,Чоловіча,1942-08-05,Модельєр,місто Березань ,"проспект Качалова, буд. 3 кв. 537, Гайворон, 16251",916 61 43,volodymyra24@example.com
Атаманюк,Максим,Єлисейович,Чоловіча,2008-08-28,Астронавт,село Валки ,"провулок Західний 4-й, буд. 9, Гнівань, 27675",197 31 42,anitaneporozhnii@example.com
Ющенко,Алевтин,Юхимович,Чоловіча,1979-08-02,Круп'є,село Камінь-Каширський,"провулок Шевченка парк, буд. 9 кв. 727, Марганець , 72219",056 653 52 41,talanbohuslava@example.com
Ісаєвич,Василь,Володимирович,Чоловіча,2004-06-03,Географ,селище Соледар,"сквер Восьмого березня 2-й, буд. 44, Корсунь-Шевченківський, 67317",+380 53 554-14-61,baranetsalbina@example.org
Батуринець,Наталія,Борисівна,Жіноча,1999-10-08,Державний службовець,село Лутугине,"вулиця Наявний 5-й, буд. 49, Генічеськ, 32398",139 21 33,roksolanaasaula@example.net
Андрійович,Адам,Микитович,Чоловіча,1996-08-27,Програміст,селище Хрестівка,"сквер Польова, буд. 372, Карлівка, 65626",+380 92 954 56 27,lesmasliak@example.net
Овсієнко,Анастасія,Васильівна,Жіноча,1985-12-06,Мікробіолог,місто Зборів,"узвіз Героїв прикордонників, буд. 839 кв. 74, Чернігів, 44476",+380 78 286-29-58,qkozachenko@example.org
Дурдинець,Лілія,Семенівна,Жіноча,1985-04-10,Актор,селище Святогірськ,"площа Шебелінський, буд. 6 кв. 9, Жашків, 59680",+380 (46) 815-81-07,mykhailynaandriishyn@example.com
Дейсун,Геннадій,Вікторович,Чоловіча,1963-09-10,Кінокритик,селище Добропілля,"узвіз Світанку, буд. 755, Гуляйполе, 53285",022 852-78-14,epetrenko@example.com
Єщенко,Анастасія,Варфоломіївна,Жіноча,1945-11-02,Адвокат,село Марганець ,"узвіз Солонцюватий 1-й, буд. 3 кв. 41, Бар, 41076",056 452-43-73,panasizhakevych@example.org
Безбородьки,Валентина,Юстимівна,Жіноча,2002-11-05,Громадський діяч,місто Семенівка,"проспект Дельфін, буд. 56, Луцьк, 45770",+380 (19) 757-01-19,bohdannadutka@example.org
Тимчук,Варфоломій,Глібович,Чоловіча,1951-04-26,Лікар,село Надвірна,"шосе Одарія, буд. 1 кв. 7, Лохвиця, 87234",538-04-53,marusia52@example.org
Чуйко,Наталія,Юстимівна,Жіноча,1992-03-22,Сантехнік,село Новий Розділ,"узвіз Локомотивний 2-й, буд. 1 кв. 643, Вознесенськ, 06361",787-19-07,ksahal@example.com
Шило,Августин,Яковович,Чоловіча,1969-06-29,Редактор,селище Лиман ,"провулок Скидановський узвіз, буд. 72, Городенка, 24307",014 512 55 94,lukian57@example.net
Луценко,Пріска,Яремівна,Жіноча,1980-09-10,Дантист,хутір Кам'янка-Бузька,"шосе Сєченова, буд. 504, Здолбунів, 19798",+380 65 922-56-27,shelestanton@example.net
Швачка,Данило,Мирославович,Чоловіча,1996-09-27,Режисер,село Залізне,"вулиця Берегова, буд. 453, Рава-Руська, 51218",+380 28 748-29-46,avhustyn95@example.org
Ємець,Ірена,Соломонівна,Жіноча,1953-05-30,Футболіст,хутір Молодогвардійськ,"проспект Стеценко, буд. 4 кв. 256, Ківерці, 13001",656-85-06,volodymyrbabak@example.net
Карпа,Ярина,Несторівна,Жіноча,1973-11-30,Сантехнік,хутір Тростянець,"сквер Орловська, буд. 417 кв. 7, Козятин, 94238",+380 (73) 986-14-65,ztsybulenko@example.org
Затула,Франц,Євгенійович,Чоловіча,1968-09-19,Швачка,місто Жданівка,"парк Академіка Сахарова, буд. 23 кв. 5, Ковель, 34854",899 12 71,ytkach@example.net
Свистун,Мілена,Трохимівна,Жіноча,1989-10-26,Штукатур,село Монастирище,"площа Пастера, буд. 63, Марганець , 71634",605-85-92,anzhela91@example.org
Гайворонський,Данна,Євгенівна,Жіноча,1997-03-04,Ріелтор,селище Чигирин,"набережна Героїв Крут, буд. 752 кв. 88, Бориспіль, 97881",140 58 27,tprykhodko@example.org
Забіла,Опанас,Юхимович,Чоловіча,1990-04-06,Краєзнавець,село Приморськ (Україна),"шосе Перший Кришталевий, буд. 227, Нововолинськ, 82091",925 75 50,chubaidemian@example.org
Дуплій,Лукʼян,Пилипович,Чоловіча,1957-10-09,Швачка,село Новий Калинів,"вулиця Студентський 2-й, буд. 996, Хорол , 01342",+380 (40) 394-72-08,ztymchuk@example.org
Терещенко,Клавдія,Макарівна,Жіноча,1949-05-11,Реставратор,село Ладижин,"набережна Макарова, буд. 356, Баранівка, 38885",024 61 23,lukiangoliash@example.com
Андрійчук,Борис,Миколайович,Чоловіча,2002-02-03,Геолог,селище Токмак,"провулок Цебриківська, буд. 943, Скадовськ, 04164",736-98-66,gkozak@example.org
Жученко,Святослава,Альбертівна,Жіноча,1985-08-07,Ветеринар,село Сновськ,"вулиця Партизанська, буд. 557 кв. 3, Судак , 79137",+380 71 815 15 71,sbarannyk@example.org
Шаповал,Венедикт,Леонтійович,Чоловіча,1981-09-01,Музикознавець,селище Мирноград,"парк Естафетна, буд. 85, Тетіїв, 99159",+380 (11) 422-01-14,baturynetssemen@example.org
Євтушенко,Варвара,Омелянівна,Жіноча,1993-06-06,Літературознавець,хутір Кобеляки,"шосе Пушкінська, буд. 8, Ворожба, 50583",028 693-64-34,semen95@example.org
Забарний,Веніямин,Ростиславович,Чоловіча,2007-12-09,Каскадер,місто Інкерман,"площа Ковиловий, буд. 813 кв. 30, Дніпрорудне, 45254",078 743-32-28,zaporozhetsielysei@example.com
